JOB_ID,JOB_URL,EMPLOYMENT_TYPE,ADRESSE,COMPENSATION,PUBLICATION_DATE,JOB_TITLE
6775522385,https://southcoast.craigslist.org/egr/d/land-surveyor-party-chief-project/6775522385.html,full-time,-,$30-$50 depends upon experience,Dec 18,Land Surveyor - Party Chief - Project Manager
6767125305,https://hartford.craigslist.org/egr/d/phone-repair-techweek/6767125305.html,full-time,-,NO,Dec  7,Phone Repair Tech 700$-1000$ a Week
6758986220,https://providence.craigslist.org/egr/d/licensed-engineer/6758986220.html,contract,-,Competitive Project Based,Nov 27,Licensed Engineer
6763868567,https://providence.craigslist.org/egr/d/job-estimator-pasquazzi-bros-inc/6763868567.html,full-time,-,based on experience,Dec  3,Job Estimator - Pasquazzi Bros. Inc.
6759839270,https://providence.craigslist.org/egr/d/electronic-engineer-project-coordination/6759839270.html,contract,-,25-35hr DOE,Nov 28,Electronic Engineer -Project Coordination
6759941586,https://providence.craigslist.org/egr/d/maintenance-technician/6759941586.html,full-time,-,N/A,Nov 28,Maintenance Technician
6769207205,https://hartford.craigslist.org/egr/d/wanted-professional-engineer-for-septic/6769207205.html,contract,-,Compensation as agreed upon by contract.,Dec 10,Wanted: Professional Engineer for Septic System Design
6774609197,https://providence.craigslist.org/egr/d/pm-shift-engineer/6774609197.html,full-time,-,$16.50/hr,Dec 17,PM Shift Engineer
6767038303,https://providence.craigslist.org/egr/d/architect-project-manager/6767038303.html,full-time,-,commensurate to experience,Dec  7,Architect / Project Manager
6753632748,https://boston.craigslist.org/nwb/egr/d/construction-project-manager/6753632748.html,full-time," (Lowell, Massachusetts)",Competitive salary based on experience,Nov 20,CONSTRUCTION PROJECT MANAGER
6753717287,https://boston.craigslist.org/bmw/egr/d/survey-crew-chief/6753717287.html,full-time, (BURLINGTON),based on experience,Nov 20,Survey Crew Chief
6754558629,https://boston.craigslist.org/gbs/egr/d/architectural-designer/6754558629.html,full-time, (boston),"Full-Time, Salaried, Full Benefits Package",Nov 21,Architectural Designer
6754548100,https://boston.craigslist.org/gbs/egr/d/mid-senior-electrical-engineer/6754548100.html,full-time, (Boston),"Full-Time, Salaried, Full Benefits Package",Nov 21,Mid - Senior Electrical Engineer
6757205502,https://boston.craigslist.org/gbs/egr/d/construction-superintendent/6757205502.html,full-time," (Watertown, MA)","Salary (commensurate with exp.), paid personal/vacation days & health insurance available.",Nov 25,Construction Superintendent
6756402199,https://boston.craigslist.org/gbs/egr/d/experienced-cad-drafter/6756402199.html,contract, (Somerville/Medford line),"$25-$35 per hour, depending on experience",Nov 24,Experienced Cad Drafter
6757233436,https://boston.craigslist.org/gbs/egr/d/technical-marketing/6757233436.html,full-time, (Hyde Park),with experience,Nov 25,Technical Marketing
6757238771,https://boston.craigslist.org/gbs/egr/d/sr-mechanical-design-engineer/6757238771.html,full-time, (Hyde Park),with experience,Nov 25,Sr. Mechanical Design Engineer
6757247431,https://boston.craigslist.org/gbs/egr/d/junior-architect-and-mid-level-architect/6757247431.html,full-time, (West Roxbury),Competative salary based on experience and potential.,Nov 25,Junior Architect and Mid-Level Architect
6769106867,https://providence.craigslist.org/egr/d/drone-co-looking-for-3d-reconstruction/6769106867.html,part-time,-,Per Experience,Dec 10,Drone Co looking for 3D reconstruction help - Pix4D & Cloud compare
6758513253,https://boston.craigslist.org/gbs/egr/d/hvac-pm-fp-elec/6758513253.html,full-time, (Boston),based on experience,Nov 27,HVAC/PM/FP/Elec
6758019290,https://boston.craigslist.org/gbs/egr/d/civil-engineering-pe-needed-management/6758019290.html,full-time, (East Berkeley St Boston MA),TBD,Nov 26,Civil Engineering P.E needed - Management role avail for right person
6773620949,https://providence.craigslist.org/egr/d/hotel-estimator-blue-beam-cad/6773620949.html,part-time,-,Negotiated- Depends on experience,Dec 15,Hotel Estimator- Blue Beam-Cad
6758749719,https://boston.craigslist.org/gbs/egr/d/cad-technician-restaurant-food-service/6758749719.html,full-time, (Chelsea),Based on experience and qualifications,Nov 27,CAD Technician (RESTAURANT / FOOD SERVICE INDUSTRY)
6758946967,https://boston.craigslist.org/gbs/egr/d/licensed-engineer/6758946967.html,contract,-,Competitive Project Based,Nov 27,Licensed Engineer
6759003259,https://boston.craigslist.org/gbs/egr/d/maintenance-engineer-for-new-food/6759003259.html,full-time," (Time Out Market Boston, 401 Park Drive)","Full-time salaried position with health insurance, 401k, 15 PTO days a year",Nov 27,Maintenance Engineer for new food/beverage concept
6764710015,https://worcester.craigslist.org/egr/d/project-manager-estimator-glass-aluminum/6764710015.html,full-time,-,Based on experience,Dec  4,Project Manager/Estimator - Glass &Aluminum
6759237230,https://worcester.craigslist.org/egr/d/test-technicians-days/6759237230.html,full-time,-,Based on shift & relevant experience,Nov 27,Test Technicians - Days
6759868492,https://boston.craigslist.org/gbs/egr/d/project-estimator/6759868492.html,full-time," (Norwood, MA)",Commensurate With Experience,Nov 28,Project Estimator
6759600794,https://boston.craigslist.org/sob/egr/d/creative-design-engineer-construction/6759600794.html,full-time, (Boston),Highly Competitive,Nov 28,Creative Design Engineer- Construction/Architectural Design
6770899711,https://worcester.craigslist.org/egr/d/architectural-drafter/6770899711.html,full-time,-,TBD on experience,Dec 12,Architectural Drafter
6769328196,https://worcester.craigslist.org/egr/d/industrial-controla-programmer/6769328196.html,contract,-,As negotiated,Dec 10,Industrial Controla Programmer
6763501244,https://boston.craigslist.org/gbs/egr/d/chief-engineer/6763501244.html,full-time," (95 Station Landing, Medford, MA)",N.A,Dec  3,Chief Engineer
6754561642,https://boston.craigslist.org/gbs/egr/d/architectural-drafter-designer/6754561642.html,full-time, (boston),"Full-Time, Salaried, Full Benefits Package",Nov 21,Architectural Drafter/Designer
6764026865,https://boston.craigslist.org/gbs/egr/d/construction-business-sr-estimator/6764026865.html,full-time," (Baltimore, MD Area - Relocation Available)",DOE - Very Competitive,Dec  3,Construction Business Sr. Estimator (Roofing)
6763985395,https://boston.craigslist.org/sob/egr/d/construction-project-manager/6763985395.html,full-time," (Sagamore Beach, MA)",Competitive,Dec  3,Construction Project Manager
6764430842,https://boston.craigslist.org/sob/egr/d/civil-engineer-cad-technician/6764430842.html,full-time," (Brockton, MA)","50,000- 70,000.00+ a year",Dec  4,Civil Engineer/CAD Technician
6764768940,https://boston.craigslist.org/nos/egr/d/spring-2019-co-op/6764768940.html,full-time, (01960),Commensurate with experience,Dec  4,Spring 2019 Co-Op
6760410091,https://boston.craigslist.org/gbs/egr/d/director-of-architectural-design-cic/6760410091.html,full-time, (Kendall Square),Commensurate with experience,Nov 29,Director of Architectural Design @CIC
6765281750,https://boston.craigslist.org/gbs/egr/d/director-of-architectural-design-cic/6765281750.html,full-time, (Kendall Square),Commensurate with experience,Dec  5,Director of Architectural Design @CIC
6766068377,https://boston.craigslist.org/gbs/egr/d/architectural-designer-kitchen-and/6766068377.html,full-time, (boston and surrounding areas),25-35 per hour based on experience,Dec  6,architectural designer kitchen and bathroom design
6766433890,https://boston.craigslist.org/nwb/egr/d/project-manager/6766433890.html,full-time, (Burlington),Commensurate with experience,Dec  6,PROJECT MANAGER
6766625964,https://boston.craigslist.org/gbs/egr/d/draftsman-for-scaffold-projects/6766625964.html,contract, (Medford/Malden/Somerville),$ 70/hr,Dec  6,Draftsman for Scaffold Projects
6767246028,https://boston.craigslist.org/nos/egr/d/homebuilding-project-manager/6767246028.html,full-time, (North of Boston),excellent salary for a qualified proffesional,Dec  7,Homebuilding Project Manager
6769173442,https://boston.craigslist.org/gbs/egr/d/emerging-professional-architectural/6769173442.html,full-time, (West End),DOE,Dec 10,Emerging Professional Architectural Designer
6769422768,https://boston.craigslist.org/gbs/egr/d/architectural-designer-drafter/6769422768.html,full-time, (Boston),Please submitt your salary requirements with your resume,Dec 10,Architectural Designer/Drafter
6769425923,https://boston.craigslist.org/gbs/egr/d/sr-architectural-designer-drafter/6769425923.html,full-time, (Boston),Please submitt your salary requirements with your resume,Dec 10,Sr. Architectural Designer/Drafter
6769565148,https://boston.craigslist.org/gbs/egr/d/senior-plumbing-fire-protection-engineer/6769565148.html,full-time, (Boston MA),"105,000.00 to 145,000.00",Dec 10,Senior Plumbing Fire Protection Engineer
6770039920,https://boston.craigslist.org/gbs/egr/d/civil-engineer-drainage-analysis/6770039920.html,employee's choice, (Andover),Responsive to Experience,Dec 11,Civil Engineer Drainage Analysis
6770214016,https://boston.craigslist.org/gbs/egr/d/structural-engineer/6770214016.html,contract, (Newton),Rate/Hr depending on experience.,Dec 11,Structural Engineer
6770324768,https://boston.craigslist.org/sob/egr/d/architect-intern-architect/6770324768.html,full-time," (Cohasset, MA)",Commensurate with experience.,Dec 11,Architect / Intern Architect
6766403961,https://boston.craigslist.org/gbs/egr/d/land-surveyors-field-office/6766403961.html,full-time," (Boston, MA)",compensation/salary to be discussed during interview,Dec  6,Land Surveyors - Field & Office
6770365977,https://boston.craigslist.org/gbs/egr/d/site-superintendent/6770365977.html,full-time," (Kittery, ME)",DOE,Dec 11,Site Superintendent
6770365892,https://boston.craigslist.org/gbs/egr/d/architectural-design-staff/6770365892.html,full-time, (Harvard Square),TBD,Dec 11,Architectural Design Staff
6770865828,https://boston.craigslist.org/nos/egr/d/engineer-mechanical-manufacturing/6770865828.html,full-time," (Salem, MA)",base with generous monthly bonuses,Dec 12,Engineer - Mechanical/Manufacturing
6770383735,https://boston.craigslist.org/gbs/egr/d/senior-scientist-geologist-engineer/6770383735.html,full-time," (Marlborough, MA)",DOE,Dec 11,Senior Scientist Geologist Engineer
6771239883,https://boston.craigslist.org/gbs/egr/d/architect/6771239883.html,full-time, (Walden),"Salary position, benefits, paid vacation,",Dec 12,Architect
6771326273,https://boston.craigslist.org/gbs/egr/d/rd-technician/6771326273.html,full-time, (Allston),competitive compensation,Dec 12,R&D Technician
6771319110,https://boston.craigslist.org/bmw/egr/d/interior-designer/6771319110.html,contract, (MetroWest),$20+ per hour,Dec 12,Interior Designer
6771477603,https://boston.craigslist.org/gbs/egr/d/cad-draft-persons/6771477603.html,full-time, (Boston),based on experience,Dec 12,CAD Draft persons
6771619195,https://boston.craigslist.org/nwb/egr/d/experienced-estimators/6771619195.html,full-time," (Methuen, MA.)",Compensation commensurate with experience,Dec 13,Experienced Estimators
6771938291,https://boston.craigslist.org/nwb/egr/d/jobs-jobs-jobs-apply-today/6771938291.html,full-time, (Marlborough),"Based on position, experience & shift",Dec 13,JOBS JOBS JOBS-Apply Today!
6772646620,https://boston.craigslist.org/nos/egr/d/homebuilding-project-manager/6772646620.html,full-time, (North of Boston),excellent salary for a qualified proffesional,Dec 14,Homebuilding Project Manager
6772714678,https://boston.craigslist.org/gbs/egr/d/autocad-draftsman/6772714678.html,full-time, (Peabody),to commensurate w/ experience,Dec 14,Autocad Draftsman
